,CO_ENTIDADE,NO_ENTIDADE,DT_ANO_LETIVO_INICIO,CO_MUNICIPIO,TP_LOCALIZACAO,TP_DEPENDENCIA,IN_LOCAL_FUNC_UNID_PRISIONAL,IN_LOCAL_FUNC_PRISIONAL_SOCIO,IN_AGUA_FILTRADA,IN_AGUA_INEXISTENTE,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_INEXISTENTE,IN_LIXO_RECICLA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_CHUVEIRO,IN_AREA_VERDE,IN_COMPUTADOR,IN_INTERNET,IN_ALIMENTACAO,ano
15,26127300,ESCOLA DE REFERENCIA EM ENSINO MEDIO DIARIO DE PERNAMBUCO,04/02/2015,2611606,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2015
16,26128225,ESCOLA LUIZ PESSOA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
17,26125579,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
18,26148749,INSTITUTO SAO SEBASTIAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
19,26124700,ESCOLA MUNICIPAL MARGARIDA SERPA COSSART,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2015
20,26143224,FACULDADE INFANTIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
21,26123924,ESCOLA RECREIO DA TIA MARTA,02/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2015
22,26157390,CLUBE DE MAES PRO-MAES,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
23,26133389,ESCOLA MUNICIPAL NADIR COLACO,05/02/2015,2611606,1,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2015
24,26528711,COLEGIO 17 DE AGOSTO,02/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015
25,26161028,DM INSTIT ENS LTDA RECAN N SR� LUORDES FANTASIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
26,26166968,ASSOCIACAO FOLCLORICA DANADINHA NA ROCA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
27,26495740,INSTITUTO EDUCACIONAL SANDRA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
28,26121522,COLEGIO E CURSO ALPHA,02/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2015
29,26128039,COLEGIO SAO JORGE,05/02/2015,2611606,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2015
30,26163152,COLEGIO NOVA ERA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
31,26222400,COLEGIO E CURSO ESUDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
32,26168065,ESCOLA MUNICIPAL JORDAO BAIXO - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
33,26127172,COLEGIO SAO DOMINGOS SAVIO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
34,26121700,ESCOLA SAO FRANCISCO DE ASSIS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
35,26158248,ESCOLA MUNICIPAL PARQUE DOS MILAGRES - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
36,26494710,INSTITUTO DIVERTIDO E APRENDER,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
37,26159643,GRUPO DE MAES DA VILA UNIAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
38,26173360,EDUCANDARIO MADRE SAVINA PETRILLE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
39,26168049,ESCOLA MUNICIPAL DINA DE OLIVEIRA ANEXO I CDM,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
40,26170558,GRUPO DE APOIO PEDAGOGICO - GAPE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
41,26492733,CENTRO DE FORMACAO DE EDUCACAO POPULAR MARIA DA CONCEICAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
42,26157497,ESCOLA LUDI MAGISTER,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
43,26121476,COLEGIO NOSSA SENHORA DO CARMO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
44,26127490,ESCOLAS SANTA TEREZINHA,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
45,26119668,ESCOLA ADVENTISTA DO IBURA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
46,26158418,ESCOLA MUNICIPAL MANOEL ROLIM - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
47,26163942,EDUCANDARIO SANTO ANTONIO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
48,26123665,ESCOLA NOSSA SENHORA DAS GRACAS,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
49,26126931,INSTITUTO SAO LUIZ,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
50,26176696,ACADEMIA CRISTA DE BOA VIAGEM - UNIDADE II,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
51,26149230,ESCOLA MUNICIPAL NOVO HORIZONTE ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
52,26172798,ESCOLA COMUNITARIA GIRASSOL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
53,26140845,EDUCANDARIO NOSSA SENHORA DAS GRACAS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
54,26148862,ESCOLA TURMA DA MONICA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
55,26171708,ESCOLA MUNICIPAL TRES CARNEIROS - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
56,26122901,ESCOLA PROFESSORA EUNICE BELTRAO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
57,26167832,ESCOLA MUNICIPAL PROFESSOR SIMOES BARBOSA - ANEXO I - ARCO IRIS,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
58,26172810,JARDIM ESCOLA MARIA AMELIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
59,26121735,ESCOLA DE ADMINISTRACAO CONTABIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
60,26126532,ESCOLA PROFISSIONAL SAO JOSE,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
61,26496712,EDUCANDARIO CAMINHO DO SABER,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
62,26170434,CENTRO EDUCACIONAL MENINO JESUS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
63,26122731,INSTITUTO ANDRADE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
64,26122537,ESC DO CENTRO PAROQUIAL DE CAMPO GRANDE,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
65,26138352,CENTRO DE ENSINO INTEGRADO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
66,26127130,COLEGIO PIO XII,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
67,26122820,EDUCANDARIO SANTA RITA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
68,26161915,PREMIER COLEGIO E CURSO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
69,26136126,CENTRO EDUCACIONAL PEDRO LUCAS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
70,26145235,ESCOLA MUNICIPAL ADERBAL GALVAO ANEXO I ALT FAVELA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
71,26153327,ESCOLA MUNICIPAL ARRAIAL NOVO BOM JESUS ANEXO III,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
72,26123045,ESCOLA PADRE COSTA CARVALHO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
73,26493772,ESCOLA PLANETA INFANTIL I,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
74,26128349,ESCOLA NOSSA SENHORA APARECIDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
75,26176475,ACADEMIA EVANGELICA EDUCACAO INFANTIL E ENSINO FUN,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
76,26143674,EDUCANDARIO MAE RAINHA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
77,26122286,ESC REUNIDAS MONSENHOR AMBROSINO LEITE,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
78,26125919,EDUCANDARIO POTTES,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
79,26178303,ESCOLA ENCANTO INFANTIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
80,26138832,ESCOLA MUNICIPAL DOM JOSE LAMARTINE - ANX I - CENT VIV CRISTA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
81,26127822,ESCOLINHA PRIMAVERA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
82,26147319,ESCOLA MUNICIPAL DOS COELHOS ANEXO II ALBERGUE,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
83,26122561,ESCOLA ENSINO DINAMICO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
84,26123320,ESCOLA RECANTO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
85,26180111,NUCLEO DE ALTAS HABILIDADES E SUPERDOTACAO,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
86,26123762,ESCOLA HENRIQUE DIAS,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
87,26153106,COLEGIO E CURSO BRASIL ANEXO I,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
88,26493780,ESCOLA TURMA DA MONICA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
89,26172780,ESCOLA COMUNITARIA UNIAO DO BRASIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
90,26148960,EDUCANDARIO MARIA JOSE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
91,26166674,ESCOLA MUNICIPAL MARLUCE SANTIAGO DA SILVA - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
92,26127482,ESCOLA SAO SEBASTIAO DO CORDEIRO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
93,26118068,COLEGIO MONTEIRO LOBATO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
94,26172763,EDUCANDARIO NAIR CAVALCANTI,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
95,26176610,ESCOLA GERACAO CRISTA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
96,26128152,ESC DE 1 E 2 GRAUS STA MARIA DO CARMELO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
97,26168022,ESCOLA MUNICIPAL DARCY RIBEIRO-ANX I-CDM SITIO DO CARDOSO,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
98,26170752,ESCOLA MUNICIPAL DEUS E AMOR - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
99,26134144,ESCOLA MUNICIPAL GENERAL SAN MARTIN ANEXO II CDM,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
100,26120860,INSTITUTO DOMINGOS SAVIO PARA SURDOS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
101,26136897,ESCOLA LUIZ BRITO BEZERRA DE MELLO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
102,26134397,ESCOLA MUNICIPAL ALDA ROMEU - ANX II - TIA REGINA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
103,26124491,ESCOLA AFRANIO GODOY,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
104,26165295,ESCOLA MUNICIPAL NOVO HORIZONTE - ANX II,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
105,26143771,COLEGIO JOAO BATISTA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
106,26172828,COLEGIO NEO PLANOS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
107,26162903,EDUCANDARIO NOSSA SENHORA DE FATIMA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
108,26148200,ESCOLA MAURILANDIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
109,26164337,ESCOLA LAPIS NA MAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
110,26125862,ESCOLA DRAOMIRO CHAVES - ANX II- BAR STA ISABEL,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
111,26122197,ESCOLA MUNICIPAL DA IPUTINGA - ANX I ASS CRISTA FEMININA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
112,26164442,ESCOLA MUNICIPAL SANTO ANTONIO ANX II CDM IGREJA B,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
113,26149516,ESCOLA TURMA DA MONICA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
114,26127350,ESCOLA JULIO DE ASSIS,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
115,26137208,ESCOLA MUNICIPAL ALTO DO REFUGIO - IVAN NEVES - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
116,26153629,ESC MUN CASARAO DO BARBALHO ANX ASSOC PESTALOZZI,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
117,26128918,ESCOLA DRAOMIRO CHAVES - ANX I - SITIO ENCANTAD,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
118,26178290,ESCOLA MARISTA CHAMPAGNAT DE RECIFE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
119,26122340,INSTITUTO O MUNDO INFANTIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
120,26136347,ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS - ANX I CDM,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
121,26119900,ESCOLA JOAQUIM GONDRA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
122,26126176,ESCOLA RS FRANCA PEREIRA,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
123,26170698,MUNICIPAL SANTA MARIA GORETTI - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
124,26121727,ESCOLA CAPITAO ANTONIO BRAZ PEREIRA,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
125,26164779,ESCOLA COMUNITARIA TIA SOLANGE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
126,26121492,COLEGIO TEC CONTABIL PRES GETULIO VARGAS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
127,26126761,ESCOLA MIGUEL ARCANJO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
128,26118815,CENTRO DE EDUC INFANTIL PROF GILDO SOARES DA SILVA,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
129,26166615,ESCOLA MUNICIPAL ANTONIO TIBURCIO ANEXO III,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
130,26119609,ESCOLA VOVO BEATRIZ,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
131,26166917,ESCOLA COMUNITARIA MATERNAL CRIANCA FELIZ,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
132,26168090,ESCOLA COMUNITARIA BOM GOSTO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
133,26171694,ESCOLA MUNICIPAL ALDA ROMEU - ANX IV,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
134,26124246,COLEGIO BARAO DE SOUZA LEAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
135,26118246,COLEGIO SANTA CECILIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
136,26127245,EDUCANDARIO RECANTO DO SABER,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
137,26128438,ESCOLA PINGO DE GENTE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
138,26182769,ESCOLA MUNICIPAL DEPUTADO PAULO LEITE,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
139,26121883,ESCOLA FREI CASIMIRO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
140,26173093,ESCOLA ESTRELA GUIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
141,26491729,INSTITUTO SABER E CRESCER,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
142,26121263,ESCOLA NOSSA SENHORA DO CARMO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
143,26137339,ESCOLA MUNICIPAL MAURICIO DE NASSAU ANEXO I CDM,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
144,26133670,ESCOLA MUNICIPAL SANTO ANTONIO DO CACOTE - ANX I - EMLURB,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
145,26122642,ESCOLA PROFESSOR OLIVIO MONTENEGRO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
146,26117622,ESCOLA MUNICIPAL DA IPUTINGA - ANX II - ASS DE CEGOS APEC,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
147,26166585,ESCOLA MUNICIPAL ALTO DO PASCOAL - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
148,26136299,ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
149,26137887,ESCOLA NOSSA INFANCIA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
150,26493748,ESCOLA VOVO JUCA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
151,26167018,INSTITUTO SAO MATHEUS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
152,26137304,ESCOLA MUNICIPAL DOM JOSE LAMARTINE ANX IV CDM,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
153,26143615,ESCOLA TALENTO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
154,26167140,CENTRO EDUCACIONAL PRIMEIROS PASSOS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
155,26156555,ESCOLA FRATERNAL MARIA DE NAZARE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
156,26118076,COLEGIO PORTO CARREIRO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
157,26122073,COLEGIO CENECISTA DOS COMERCIARIOS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
158,26125374,ESCOLINHA CONTOS DE FADAS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
159,26127113,COLEGIO MARIA CONSUELO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
160,26121549,COLEGIO NOBREGA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
161,26167875,ESCOLA MUNICIPAL DO PANTANAL - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
162,26118513,EDUCANDARIO SANTA ANA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
163,26124084,ESCOLA 27 DE NOVEMBRO - ANEXO - I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
164,26180103,NUCLEO DE SURDOCEGUEIRA E DEFICIENCIA MULTIPLA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
165,26170680,ESCOLA SAO FRANCISCO DE ASSIS - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
166,26121719,ESCOLA JANIO METODIO,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
167,26122324,ESCOLA CABO PM JOSE SOARES DA SILVA,,2611606,1,2,,,,,,,,,,,,,,,,,,2015
168,26140942,ESCOLA MEU PEQUENO MUNDO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
169,26126915,INSTITUTO PETER PAN,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
170,26121646,ESCOLA NORMAL PINTO JUNIOR,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
171,26166739,ESCOLA EDUCANDO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
172,26173239,COLEGIO PREFERENCIAL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
173,26124386,EDUCANDARIO MANOEL COELHO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
174,26120984,JEFFERSON COLEGIO CURSO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
175,26153009,CENTRO EDUCACIONAL MANOEL ARAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
176,26530775,CENTRO EDUCACIONAL DO ARRUDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
177,26141175,EDUCANDARIO CHARLES CHAPLIN,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
178,26144280,ESCOLA REAL DO POCO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
179,26120046,ESCOLA PALHACINHO DE NEVE,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
180,26145219,ESCOLA MUNICIPAL DEPUTADO FERNANDO SAMPAIO - ANX I - ANTONIO FELIX,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
181,26119960,ESCOLA MARIA DA CONCEICAO DO REGO BARROS,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
182,26122111,COLEGIO SANTA HELENA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
183,26170612,COLEGIO ATUANTE SC LTDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
184,26206609,NUCLEO DE TRANSTORNO GLOBAL DO DESENVOLVIMENTO,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
185,26179008,CJC ENSINO MEDIO LTDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
186,26173069,COLEGIO E CURSO SELECAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
187,26147858,ESCOLA MUNICIPAL GEN SAN MARTIN ANEXO I POVO DEUS,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
188,26175886,COLEGIO NEO PLANOS I,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
189,26158744,ESC MUN DO COQUE ANX I FEDERACAO DAS MULHERES,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
190,26145251,ESCOLA MUNICIPAL PROFESSOR JOSE LOURENCO DE LIMA ANX I BALAO MAGICO,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
191,26175983,COLEGIO RENOVACAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
192,26119790,ESCOLA ESPIRITA IRMAOS SILVEIRA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
193,26171759,ESCOLA MUNICIPAL DA GUABIRABA - ANEXO II,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
194,26121425,COLEGIO E CURSO BRASIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
195,26170655,ESCOLA MUNICIPAL JARDIM MONTE VERDE - ANEXO I,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
196,26126168,ESCOLA EXPERIMENTAL NOSSA SRA DA VISITACAO,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
197,26495724,ESCOLA PLANETA INFANTIL II,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
198,26493756,ESCOLA ALEGRIA DA CRIANCA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
199,26218429,EDUCANDARIO GLEYCE KELLY,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
200,26175967,ESCOLA E CENTRO INTEGRADO DE ARTE LTDA,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
201,26524716,ESCOLA REINO INFANTIL,,2611606,1,4,,,,,,,,,,,,,,,,,,2015
202,26136287,ESCOLA MUNICIPAL DA GUABIRABA - ANX I - ARITANA,,2611606,1,3,,,,,,,,,,,,,,,,,,2015
